"","Ticker","SEC_Company_ID"
"1","CAC",750686
"2","PIH",1591890
"3","MIDD",769520
"4","QSEP",1103795
"5","INSY",1516479
"6","GNTY",1058867
"7","XRM",1287151
"8","NVUS",1404281
"9","ZN",1131312
"15","ATLO",1132651
"16","WEX",1309108
"17","STKL",351834
"18","HEB",946644
"19","DK",1351541
"20","BBY",764478
"21","TOCA",1419041
"22","SEMG",1489136
"23","YELP",1345016
"25","COHU",21535
"26","PUMP",1680247
"27","ABBV",1551152
"28","SQ",1512673
"29","EGRX",827871
"30","ORI",74260
"31","FMBI",702325
"32","FPI",1591670
"33","CI",701221
"34","UCTT",1275014
"37","RMTI",1041024
"38","RMBL",1596961
"39","CBL",910612
"40","FNRN",1114927
"41","EFSC",1025835
"42","SGC",95574
"43","FBM",1688941
"50","CUTR",1162461
"51","BID",823094
"52","BKH",1130464
"53","MIC",1289790
"54","PACW",1102112
"55","DFBG",844143
"56","ELY",837465
"57","CSV",1016281
"58","JANL",1133062
"59","KRP",1657788
"60","DCO",30305
"61","RWC",2186
"62","TXN",97476
"63","TSC",1380846
"64","ABT",1800
"65","CPIX",1087294
"66","PCAR",75362
"75","MUSA",1573516
"76","CVLY",806279
"77","FCCO",932781
"78","CECE",3197
"79","RAVE",718332
"80","EDGW",1017968
"82","QURE",1590560
"83","SHAK",1620533
"84","AEP",4904
"85","PMTS",1641614
"86","HRC",47518
"87","GEN",1351051
"88","WBT",1650962
"89","PE",1594466
"90","RTIX",1100441
"91","NBHC",1475841
"92","CME",1156375
"93","EFOI",924168
"94","PQ",872248
"95","GRUB",1594109
"96","LMNR",1342423
"97","EQR",906107
"99","HII",1501585
"100","NSC",702165
"101","SGMO",1001233
"102","FTR",20520
"104","BA",12927
"105","ANDV",50104
"106","CHS",897429
"107","MXIM",743316
"108","EMCI",356130
"109","NWIN",919864
"110","SNES",1680378
"111","IIPR",1677576
"112","ALGN",1097149
"113","WFC",72971
"115","NLY",1043219
"116","WLTW",1140536
"118","CRD-B",25475
"120","GOLF",1672013
"121","QTNA",1370702
"122","XOM",34088
"123","CLF",764065
"124","RARX",1481512
"125","SHW",89800
"126","SHOS",1548309
"127","CRL",1100682
"128","AVCO",1630212
"129","MATN",908259
"130","DE",315189
"132","QCOM",804328
"133","UHAL",4457
"134","SYBT",835324
"135","EXPO",851520
"136","ILDO",1529628
"138","TWMC",795212
"139","EMR",32604
"140","AVAV",1368622
"141","WBC",1390844
"142","FFBC",708955
"143","TWNK",1644406
"144","MCD",63908
"145","WAAS",1422841
"146","AA",1675149
"147","KORS",1530721
"148","BKEP",1392091
"149","YUMC",1673358
"150","DPW",896493
"153","VVV",1674910
"157","OBLN",1427570
"158","NTNX",1618732
"159","BSRR",1130144
"162","LNG",3570
"164","WASH",737468
"165","CSTR",1676479
"171","GE",40545
"172","CMPR",1262976
"173","FISV",798354
"174","SPGI",64040
"175","PKI",31791
"176","BWINB",9346
"177","CBB",716133
"178","TSE",1519061
"179","EVLV",870826
"180","AAP",1158449
"181","ICBK",1470205
"184","LDOS",1336920
"193","WSFS",828944
"194","AIRG",1272842
"196","CRSP",1674416
"197","CMS",811156
"199","FLOW",1641991
"200","FLT",1175454
"201","MC",1596967
"202","LOV",1314475
"204","AVY",8818
"205","GRPN",1490281
"206","ATOM",1420520
"207","ESSA",1382230
"208","FLDM",1162194
"209","CAVM",1175609
"212","HCA",860730
"213","BSTG",1563665
"214","EBF",33002
"215","FHB",36377
"217","MS",895421
"218","CLFD",796505
"219","SAM",949870
"220","UMBF",101382
"221","MRLN",1260968
"222","MA",1141391
"223","MTSC",68709
"224","EMMS",783005
"225","EMN",915389
"226","BOLD",1628738
"227","FFIN",36029
"228","KDMN",1557142
"229","KODK",31235
"230","FCCY",1141807
"231","GTE",1273441
"234","PFE",78003
"235","CTRL",1259515
"236","TPIC",1455684
"238","CLB",1000229
"239","CBSH",22356
"240","ANCX",1176316
"241","AGRX",1261249
"242","ERII",1421517
"243","BOCH",702513
"244","PI",1114995
"245","MEDP",1668397
"247","AINV",1278752
"248","VG",1272830
"249","STT",93751
"254","APA",6769
"255","MPAA",918251
"256","FISI",862831
"257","VRSK",1442145
"258","CC",1627223
"259","MCO",1059556
"260","INOD",903651
"261","GDDY",1609711
"263","WEN",30697
"264","CLRB",1279704
"266","FAST",815556
"267","SPKE",1606268
"268","CBAN",711669
"270","BHB",743367
"273","GT",42582
"275","ARCC",1287750
"276","OZRK",1038205
"277","DUK",1326160
"279","AMD",2488
"280","MNKD",899460
"281","ARW",7536
"283","ZEN",1463172
"284","CINF",20286
"286","UFCS",101199
"288","KELYA",55135
"290","GEMP",1638287
"292","NTN",748592
"293","FEYE",1370880
"294","CLIR",1434524
"295","VSLR",1607716
"296","NI",1111711
"297","RM",1519401
"298","HXL",717605
"299","AMED",896262
"300","K",55067
"301","SJM",91419
"302","LIFE",1339970
"303","PSDO",1631825
"304","HAL",45012
"305","JNJ",200406
"307","OSBC",357173
"309","ADUS",1468328
"310","AVID",896841
"311","V",1403161
"312","ETR",65984
"313","CCNE",736772
"314","GLAE",1014111
"315","HON",773840
"316","FLIR",354908
"317","CIVB",944745
"318","ROK",1024478
"319","ANET",1596532
"320","SBCF",730708
"321","MSBI",1466026
"322","AJX",1614806
"323","KMPH",1434647
"324","CPSS",889609
"325","POL",1122976
"326","PFSW",1095315
"327","MODN",1118417
"328","MSM",1003078
"329","PEP",77476
"330","TTD",1671933
"331","BKSC",1007273
"333","MITK",807863
"334","WCG",1279363
"340","OCC",1000230
"341","LNN",836157
"342","RRR",1653653
"343","DCI",29644
"344","LNC",59558
"345","CHMI",1571776
"349","SYK",310764
"351","NTLA",1652130
"352","BRKS",933974
"353","IRM",1020569
"354","FOXF",1424929
"355","EBTC",1018399
"357","MN",1524223
"358","STRM",1008586
"359","EIGR",1305253
"361","KEY",91576
"362","WLFC",1018164
"363","ESNT",1448893
"364","AKBA",1517022
"365","CNC",1071739
"367","ICUI",883984
"370","SIG",832988
"371","PG",80424
"373","DTE",936340
"374","LTRX",1114925
"375","PBPB",1195734
"376","TCRD",1464963
"378","VR",1348259
"379","SN",1528837
"381","VIRC",751365
"382","CBAK",1117171
"385","MGI",1273931
"387","TEL",1385157
"388","ASPN",1145986
"391","PEN",1321732
"392","NWN",73020
"393","NOC",1133421
"394","EWBC",1069157
"396","CLH",822818
"397","BUSE",314489
"399","BLK",1364742
"400","HZNP",1492426
"401","FBSS",1083643
"402","GRA",1045309
"403","BFS",907254
"404","SIX",701374
"407","HHS",45919
"408","REPH",1588972
"410","CZNC",810958
"413","PIOE",1044435
"414","WAT",1000697
"415","TNET",937098
"416","GNC",1502034
"417","JNPR",1043604
"419","RLI",84246
"420","HMSY",1196501
"422","UFPI",912767
"424","UPS",1090727
"425","MPW",1287865
